Node,Depth (m),Disp X (mm),Disp Y (mm),"Disp Z (mm, +up/-down)",Section Depth (m),Axial Force (kN),Shear X' (kN),Shear Y' (kN),Moment X' (kN*m),Moment Y' (kN*m)
147,9.85500000,-0.00250130,0.00000000,-1.00422491,9.85500000,668.10782263,-0.15630335,-0.00000000,0.00000000,-0.95444652
148,9.92250000,-0.00227373,0.00000000,-0.99176405,9.92250000,667.12198977,-0.17805734,-0.00000000,0.00000000,-0.94389605
149,9.99000000,-0.00205761,0.00000000,-0.97932158,9.99000000,666.14852497,-0.19774357,-0.00000000,0.00000000,-0.93187718
150,10.05750000,-0.00185269,0.00000000,-0.96689727,10.05750000,659.33400363,-0.22215538,-0.00000000,0.00000000,-0.91852949
151,10.12500000,-0.00165908,0.00000000,-0.95460005,10.12500000,652.56099755,-0.24447722,-0.00000000,0.00000000,-0.90353400
152,10.19250000,-0.00147650,0.00000000,-0.94242915,10.19250000,645.82976780,-0.26475297,-0.00000000,0.00000000,-0.88703179
153,10.26000000,-0.00130467,0.00000000,-0.93038380,10.26000000,639.14056316,-0.28303170,-0.00000000,0.00000000,-0.86916096
154,10.32750000,-0.00114329,0.00000000,-0.91846321,10.32750000,632.49362022,-0.29936715,-0.00000000,0.00000000,-0.85005632
155,10.39500000,-0.00099204,0.00000000,-0.90666659,10.39500000,625.88916366,-0.31381723,-0.00000000,0.00000000,-0.82984904
156,10.46250000,-0.00085060,0.00000000,-0.89499315,10.46250000,619.32740634,-0.32644356,-0.00000000,0.00000000,-0.80866638
157,10.53000000,-0.00071865,0.00000000,-0.88344209,10.53000000,612.80854954,-0.33731100,-0.00000000,0.00000000,-0.78663144
158,10.59750000,-0.00059586,0.00000000,-0.87201262,10.59750000,606.33278309,-0.34648717,-0.00000000,0.00000000,-0.76386294
159,10.66500000,-0.00048189,0.00000000,-0.86070392,10.66500000,599.90028561,-0.35404206,-0.00000000,0.00000000,-0.74047506
160,10.73250000,-0.00037639,0.00000000,-0.84951520,10.73250000,593.51122461,-0.36004756,-0.00000000,0.00000000,-0.71657722
161,10.80000000,-0.00027902,0.00000000,-0.83844564,10.80000000,587.16575674,-0.36457707,-0.00000000,0.00000000,-0.69227401
162,10.86750000,-0.00018945,0.00000000,-0.82749443,10.86750000,580.86402791,-0.36770511,-0.00000000,0.00000000,-0.66766506
163,10.93500000,-0.00010732,-0.00000000,-0.81666075,10.93500000,574.60617351,-0.36950695,-0.00000000,0.00000000,-0.64284496
164,11.00250000,-0.00003230,-0.00000000,-0.80594379,11.00250000,568.39231852,-0.37005826,-0.00000000,0.00000000,-0.61790324
165,11.07000000,0.00003595,-0.00000000,-0.79534272,11.07000000,562.22257778,-0.36943475,-0.00000000,0.00000000,-0.59292431
166,11.13750000,0.00009776,-0.00000000,-0.78485673,11.13750000,556.09705606,-0.36771192,-0.00000000,0.00000000,-0.56798746
167,11.20500000,0.00015347,-0.00000000,-0.77448498,11.20500000,550.01584829,-0.36496470,-0.00000000,0.00000000,-0.54316691
168,11.27250000,0.00020339,-0.00000000,-0.76422665,11.27250000,543.97903973,-0.36126722,-0.00000000,0.00000000,-0.51853179
169,11.34000000,0.00024786,-0.00000000,-0.75408091,11.34000000,537.98670611,-0.35669252,-0.00000000,0.00000000,-0.49414625
170,11.40750000,0.00028717,-0.00000000,-0.74404694,11.40750000,532.03891383,-0.35131239,-0.00000000,0.00000000,-0.47006951
171,11.47500000,0.00032164,-0.00000000,-0.73412390,11.47500000,526.13572008,-0.34519706,-0.00000000,0.00000000,-0.44635592
172,11.54250000,0.00035156,-0.00000000,-0.72431096,11.54250000,520.27717307,-0.33841511,-0.00000000,0.00000000,-0.42305512
173,11.61000000,0.00037723,-0.00000000,-0.71460728,11.61000000,514.46331214,-0.33103320,-0.00000000,0.00000000,-0.40021210
